Substrate,id,num,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc,Score
CEND1,KLHL41,4,0.61554,0.69851,0.950447,67,1,-4.0488,0.21074372
CEND1,KLHL15,4,0.63096,0.70581,0.950447,68,1,-1.977,0.199998172
CEND1,IVNS1ABP,4,0.636,0.70827,0.950447,69,1,-1.6968,0.196542884
CEND1,KLHL21,4,0.65081,0.71564,0.950447,70,1,-0.46686,0.186545783
CEND1,TNFAIP1,4,0.65564,0.71809,0.950447,71,1,0.081882,0.183334558
CEND1,BCL6B,4,0.66042,0.72034,0.950447,72,1,-1.9848,0.180179783
CEND1,ENC1,4,0.69252,0.73779,0.953812,73,1,-0.26327,0.15956768
CEND1,KCTD13,4,0.70126,0.74297,0.953812,74,1,-2.2795,0.154120933
CEND1,KLHL7,4,0.74604,0.76978,0.968472,75,1,-4.9716,0.127237887
CEND1,KLHL2,4,0.7536,0.77478,0.968472,76,1,-2.3654,0.12285911
CEND1,KCTD19,4,0.80194,0.80911,0.968948,77,1,-0.32671,0.095858124
CEND1,KCTD21,4,0.80822,0.81434,0.968948,78,1,-5.1398,0.092470407
CEND1,BTBD2,4,0.81735,0.82226,0.968948,79,1,0.27945,0.087591933
CEND1,KLHL23,4,0.82032,0.82462,0.968948,80,1,0.030957,0.0860167
CEND1,KBTBD6,4,0.83183,0.83437,0.968948,81,1,-0.59131,0.079965421
CEND1,KCTD20,4,0.83738,0.83912,0.968948,82,1,-0.54286,0.077077416
CEND1,KCTD17,4,0.84544,0.84655,0.968948,83,1,-2.3946,0.072917208
CEND1,KLHL8,4,0.88771,0.88769,0.978444,84,0,-2.2493,0.051728888
CEND1,IPP,4,0.88977,0.88976,0.978444,85,0,-4.2981,0.050722241
CEND1,KLHL4,4,0.8938,0.89343,0.978444,86,0,-0.21449,0.04875965
CEND1,KLHL3,4,0.91574,0.91463,0.978444,87,0,-2.2414,0.038227815
CEND1,KBTBD8,4,0.92224,0.92154,0.978444,88,0,-0.76351,0.035156045
CEND1,KLHL22,4,0.92534,0.92466,0.978444,89,0,-0.47794,0.033698664
CEND1,SPOPL,4,0.93547,0.93476,0.978444,90,0,-0.80318,0.028970136
CEND1,LZTR1,4,0.93817,0.93725,0.978444,91,0,-0.69614,0.027718459
CEND1,SHKBP1,4,0.95151,0.95114,0.98004,92,0,-1.7954,0.021586643
CEND1,KLHL26,4,0.95977,0.95941,0.98004,93,0,-2.6434,0.017832829
CEND1,BTBD10,4,0.97892,0.9793,0.98972,94,0,-5.109,0.009252798
CEND1,KCTD11,4,0.99932,0.99945,0.999446,95,0,-6.3515,0.000295421
FATE1,CUL3,3,2.99E-07,4.99E-06,0.000474,1,3,3.1878,6.524793857
FATE1,NACC2,4,0.00045092,0.0017128,0.081357,2,4,1.2445,3.345900502
FATE1,BTBD11,4,0.0040265,0.014007,0.443548,3,3,1.2508,2.395072297
FATE1,BTBD1,4,0.01151,0.037416,0.888639,4,4,0.61295,1.938924676
FATE1,KCTD3,4,0.017864,0.056242,0.894845,5,3,1.0476,1.74802129
FATE1,BCL6,4,0.023554,0.07273,0.894845,6,2,0.88672,1.627935329
FATE1,RBX1,4,0.023941,0.073809,0.894845,7,3,0.90944,1.620857713
FATE1,KCTD9,4,0.025422,0.076875,0.894845,8,2,0.58272,1.594790286
FATE1,BTBD9,4,0.029347,0.084775,0.894845,9,2,0.96303,1.532436288
FATE1,KLHL25,4,0.047267,0.11981,0.934087,10,2,0.18086,1.325441961
FATE1,ARIH1,4,0.055414,0.13527,0.934087,11,3,0.85108,1.2563805
FATE1,KLHL9,4,0.057539,0.13921,0.934087,12,2,-0.20936,1.24003769
FATE1,BCL6B,4,0.058639,0.14146,0.934087,13,3,0.74599,1.231813445
FATE1,KCTD15,4,0.063401,0.14978,0.934087,14,3,0.78171,1.197903892
FATE1,KBTBD11,4,0.06624,0.15533,0.934087,15,2,0.68187,1.178879676
FATE1,IVNS1ABP,4,0.068971,0.16048,0.934087,16,3,0.71878,1.161333477
FATE1,KBTBD2,4,0.072636,0.16741,0.934087,17,3,0.71361,1.13884808
FATE1,KEAP1,4,0.077833,0.17698,0.934087,18,1,-0.22317,1.10883623
FATE1,KCTD21,4,0.097798,0.21231,0.934971,19,2,-2.6043,1.009670027
FATE1,KLHL21,4,0.11091,0.2349,0.934971,20,2,-0.48684,0.955029295
FATE1,KCTD11,4,0.12714,0.26173,0.934971,21,2,0.080324,0.895717793
